c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
-8104;-8855;-9006;-8571;-7552;-6036;-4118;-1922;400;2694;4813;6605;7961;8786;9024;8661;7723;6264;4397;2228;-85;-2391;-4543;-6387;-7808;-8708;-9027;-8744;-7881;-6490;-4667;-2534;-230;2086;4267;6161;7644;8620;9018;8818;8029;6705;4935;2834;547;-1781;-3984;-5928;-7471;-8521
-8999;-8880;-8169;-6912;-5194;-3134;-858;1467;3702;5685;7291;8410;8971;8930;8299;7110;5451;3423;1177;-1160;-3409;-5438;-7100;-8292;-8927;-8974;-8415;-7302;-5697;-3715;-1487;846;3114;5184;6900;8164;8873;9006;8521;7485;5937;4001;1795;-530;-2817;-4924;-6690;-8026;-8810;-9025
-8619;-7659;-6166;-4287;-2098;211;2520;4652;6480;7870;8745;9022;8717;7812;6402;4554;2407;104;-2218;-4373;-6265;-7702;-8669;-9011;-8802;-7954;-6636;-4802;-2739;-376;1832;4585;8840;12574;15401;17158;17670;16959;15019;12051;8216;3843;-799;-5333;-9478;-12896;-15398;-16766;-16953;-15928
-13798;-10717;-6924;-2693;1659;5828;9514;12457;14471;15409;15244;13993;11771;8761;5188;1328;-2539;-6133;-9195;-11528;-12962;-13434;-12915;-11474;-9244;-6391;-3161;224;3489;6420;8790;10452;11295;11277;10423;8816;6594;3937;1048;-1843;-4531;-6810;-8528;-9561;-9852;-9388;-8225;-6458;-4232;-1721
883;3384;5596;7361;8547;9084;8925;8101;6675;4751;2489;40;-2407;-4671;-6591;-8014;-8840;-9005;-8498;-7352;-5658;-3545;-1158;1303;3679;5772;7439;8542;9017;8808;7945;6493;4541;2269;-192;-2622;-4869;-6743;-8118;-8884;-8986;-8418;-7216;-5480;-3333;-931;1529;3889;5945;7565
8616;9024;8756;7836;6327;4348;2041;-416;-2844;-5057;-6894;-8214;-8922;-8962;-8330;-7080;-5292;-3122;-704;1755;4092;6116;7687;8681;9028;8698;7719;6162;4147;1818;-644;-3060;-5245;-7039;-8308;-8952;-8935;-8236;-6937;-5107;-2903;-479;1981;4295;6281;7807;8738;9028;8633;7598
5995;3939;1596;-874;-3272;-5430;-7181;-8392;-8982;-8893;-8146;-6784;-4920;-2684;-251;2204;4493;6444;7917;8796;9017;8567;7469;5823;3733;1369;-1099;-3486;-5612;-7316;-8475;-9002;-8851;-8044;-6633;-4725;-2466;-21;2425;4690;6603;8023;8845;9002;8492;7340;5645;3524;1141;-1324
-3697;-5786;-7450;-8550;-9017;-8803;-7940;-6471;-4533;-2242;204;2647;4880;6760;8124;8889;8984;8409;7206;5465;3312;917;-1554;-3902;-5962;-7574;-8624;-9023;-8754;-7824;-6314;-4331;-2022;435;2863;5074;6906;8224;8924;8959;8325;7065;5280;3101;683;-1773;-4108;-6133;-7693;-8691
-9025;-8694;-7709;-6148;-4128;-1801;667;3073;5266;7048;8317;8956;8927;8235;6918;5097;2880;461;-2000;-4311;-6297;-7815;-8745;-9026;-8627;-7589;-5978;-3924;-1575;893;3290;5448;7190;8402;8982;8891;8136;6774;4901;2667;230;-2222;-4509;-6459;-7926;-8800;-9017;-8558;-7462;-5804
-3719;-1347;1116;3507;5623;7330;8481;9003;8848;8035;6620;4708;2448;1;-2444;-4705;-6618;-8031;-8850;-9001;-8484;-7330;-5629;-3506;-1123;1346;3713;5803;7458;8560;9013;8804;7925;6463;4511;2226;-226;-2663;-4899;-6770;-8136;-8888;-8985;-8401;-7194;-5450;-3293;-898;1573;3919
5978;7584;8629;9025;8746;7818;6298;4315;2003;-456;-2880;-5090;-6920;-8230;-8928;-8958;-8313;-7058;-5261;-3082;-668;1799;4121;6149;7705;8694;9025;8690;7697;6135;4109;1781;-683;-3095;-5278;-7063;-8324;-8956;-8927;-8224;-6909;-5077;-2865;-441;2021;4325;6313;7823;8752;9023
8626;7573;5968;3904;1555;-909;-3312;-5461;-7203;-8410;-8981;-8891;-8124;-6763;-4885;-2647;-212;2243;4527;6469;7940;8800;9019;8551;7450;5791;3698;1330;-1136;-3525;-5637;-7344;-8485;-9005;-8845;-8024;-6608;-4692;-2428;17;2463;4722;6630;8042;8851;9003;8474;7321;5611;3491
